engineering	122586
chemistry	43237
physics	42863
medicine	35246
biology	35105
computer	26538
health	22901
mechanical	21127
mathematics	20245
psychology	19370
electrical	18763
environmental	18134
technology	17329
civil	16796
chemical	16734
management	16234
education	15316
molecular	14268
economics	14157
biochemistry	13627
information	13046
materials	11886
medical	11827
social	11398
surgery	9969
biological	9665
business	9658
systems	8563
microbiology	8290
development	8019
genetics	7633
electronics	7524
clinical	7429
biomedical	7427
biotechnology	7193
earth	7110
communication	6967
history	6871
nursing	6828
library	6720
pharmacy	6542
geography	6454
graduate	6319
industrial	6286
english	6207
pathology	6162
plant	5995
physiology	5928
physical	5879
life	5824
animal	5796
food	5785
law	5768
environment	5409
pharmacology	5279
human	5192
astronomy	5170
statistics	5090
architecture	5048
design	4900
cell	4861
geology	4713
international	4642
electronic	4632
sociology	4622
immunology	4537
neuroscience	4525
energy	4494
ecology	4278
internal	4251
engenharia	4176
political	4048
agricultural	4020
philosophy	3994
natural	3957
zoology	3941
arts	3931
psychiatry	3872
veterinary	3865
resources	3860
administration	3833
anthropology	3635
oncology	3550
informatics	3548
marine	3541
care	3385
pediatrics	3371
policy	3330
epidemiology	3307
pharmaceutical	3295
nutrition	3225
neurology	3084
planning	2992
aerospace	2949
computing	2911
nuclear	2852
control	2835
radiology	2827
languages	2784
mechanics	2774
cancer	2731
experimental	2632
finance	2629
production	2601
agriculture	2526
mathematical	2515
botany	2508
language	2446
dentistry	2430
marketing	2421
biophysics	2358
water	2323
linguistics	2308
diseases	2161
community	2156
art	2148
anatomy	2130
humanities	2118
educational	2098
therapy	2096
ophthalmology	2024
obstetrics	2007
cellular	2003
atmospheric	1992
technologies	1990
accounting	1972
cardiology	1952
theoretical	1941
soil	1938
biosciences	1920
sport	1861
hospital	1848
pediatric	1842
economic	1820
structural	1787
computational	1759
literature	1757
media	1738
music	1735
material	1716
bioengineering	1711
oral	1695
organic	1683
archaeology	1656
urban	1619
geosciences	1610
emergency	1597
analysis	1590
bioinformatics	1567
power	1565
geological	1549
gynecology	1548
relations	1541
rehabilitation	1527
forest	1523
developmental	1520
quality	1518
manufacturing	1500
family	1498
geophysics	1491
radiation	1489
biostatistics	1487
automation	1480
infectious	1466
communications	1465
learning	1438
space	1434
neurobiology	1430
forestry	1411
innovation	1391
neurosurgery	1388
analytical	1384
service	1377
departament	1357
ocean	1353
toxicology	1346
software	1288
exercise	1282
anesthesiology	1269
politics	1227
libraries	1227
protection	1222
agronomy	1219
technical	1206
superior	1200
brain	1187
child	1186
fisheries	1183
evolutionary	1166
foreign	1164
theory	1163
entomology	1163
construction	1161
occupational	1150
urology	1145
mining	1136
polymer	1128
conservation	1126
oceanography	1126
imaging	1110
physiotherapy	1106
endocrinology	1105
biomolecular	1102
petroleum	1095
operations	1092
cognitive	1088
affairs	1083
behavioral	1069
disease	1065
safety	1064
metallurgical	1064
cardiovascular	1059
planetary	1053
gastroenterology	1030
genomics	1009
culture	995
cultural	991
processing	981
midwifery	977
dermatology	953
preventive	929
integrative	921
rural	920
virology	916
astrophysics	912
psychological	911
tourism	910
inorganic	906
dental	893
climate	889
evolution	877
horticulture	874
genetic	871
breeding	864
sports	856
meteorology	850
kinesiology	845
bioscience	838
intensive	838
metallurgy	835
surgical	833
parasitology	806
journalism	800
telecommunications	787
wildlife	778
theology	774
ambiente	768
hematology	767
orthopaedics	764
transportation	764
drug	759
scientific	759
comparative	756
mental	738
special	737
medicinal	736
philology	732
government	729
digital	727
maxillofacial	723
tropical	722
interdisciplinary	722
behavior	714
architectural	713
neurosciences	704
leadership	699
land	693
postgraduate	689
textile	684
sustainable	681
nephrology	678
landscape	672
nanotechnology	670
data	656
forensic	654
security	653
biochemical	651
transport	651
physique	646
economy	638
pharmaceutics	634
dynamics	633
european	633
solid	633
applications	630
telecommunication	627
mechatronics	626
instrumentation	619
infection	618
speech	609
plastic	603
translational	601
metabolism	600
visual	598
administración	584
functional	583
disorders	582
diagnostic	577
rheumatology	577
gynaecology	561
commerce	557
evaluation	554
american	545
classics	543
integrated	534
creative	529
sensing	528
naval	527
remote	523
diabetes	521
matter	521
math	521
nutritional	518
performance	515
electric	511
stem	510
quantum	503
