field	covariate
ANTHROPOLOGY	2.04711530492357
ARCHAEOLOGY	4.543886389748183
ART HISTORY	2.3873876410841333
ASTRONOMY	2.9630919420429827
BIOCHEMISTRY	4.082508545996317
CHEMISTRY	2.075001869121847
CLASSICS	2.550362149145122
COMMUNIC	4.126488194899855
COMP LIT	2.9574826489746715
COMP SCI	2.238717122253151
EARTH SCI	4.415726826769152
ECONOMICS	2.5756041749589005
EDUCATION	3.053680489098142
ENGINEERING	4.018573122094974
ENGLISH LIT	3.7699386574248677
EVOLUTION BIO	3.977418237713045
HISTORY	3.451638348205638
LINGUISTICS	4.351631040896041
MATH	4.5084999255556255
MID EAST STUD	2.5956072799918593
MOLEC BIO	3.0034275513326474
MUS TH & COM	3.667315678565198
NEUROSCI	2.1394647283759722
PHILOSOPHY	4.578224463852628
PHYSICS	3.3991156162883662
POLITICAL SCI	3.177624279217344
PSYCHOLOGY	3.4829979623396428
SOCIOLOLOGY	3.407574104067375
SPANISH LIT	4.171354905531004
STATISTICS	2.960435434799696
