from_matched_field	to_matched_field	n_male	n_female
ANTHROPOLOGY	ANTHROPOLOGY	8	27
ANTHROPOLOGY	ARCHAEOLOGY	51	502
ANTHROPOLOGY	ART HISTORY	0	2
ANTHROPOLOGY	ASTRONOMY	4	18
ANTHROPOLOGY	BIOCHEMISTRY	9	18
ANTHROPOLOGY	CHEMISTRY	1	55
ANTHROPOLOGY	CLASSICS	4	7
ANTHROPOLOGY	COMMUNIC	1	6
ANTHROPOLOGY	COMP LIT	28	148
ANTHROPOLOGY	COMP SCI	56	89
ANTHROPOLOGY	EARTH SCI	70	964
ANTHROPOLOGY	ECONOMICS	2	9
ANTHROPOLOGY	EDUCATION	19	41
ANTHROPOLOGY	ENGINEERING	12	13
ANTHROPOLOGY	ENGLISH LIT	5	34
ANTHROPOLOGY	EVOLUTION BIO	61	269
ANTHROPOLOGY	HISTORY	33	23
ANTHROPOLOGY	LINGUISTICS	6	9
ANTHROPOLOGY	MATH	2	47
ANTHROPOLOGY	MID EAST STUD	18	16
ANTHROPOLOGY	MOLEC BIO	58	192
ANTHROPOLOGY	MUS TH & COM	8	38
ANTHROPOLOGY	NEUROSCI	23	202
ANTHROPOLOGY	PHILOSOPHY	7	135
ANTHROPOLOGY	PHYSICS	4	3
ANTHROPOLOGY	POLITICAL SCI	34	99
ANTHROPOLOGY	PSYCHOLOGY	14	39
ANTHROPOLOGY	SOCIOLOLOGY	17	70
ANTHROPOLOGY	SPANISH LIT	0	4
ANTHROPOLOGY	STATISTICS	62	104
ARCHAEOLOGY	ANTHROPOLOGY	16	31
ARCHAEOLOGY	ARCHAEOLOGY	4	5
ARCHAEOLOGY	ART HISTORY	96	16
ARCHAEOLOGY	ASTRONOMY	14	30
ARCHAEOLOGY	BIOCHEMISTRY	418	53
ARCHAEOLOGY	CHEMISTRY	17	25
ARCHAEOLOGY	CLASSICS	33	74
ARCHAEOLOGY	COMMUNIC	26	26
ARCHAEOLOGY	COMP LIT	46	56
ARCHAEOLOGY	COMP SCI	15	1
ARCHAEOLOGY	EARTH SCI	169	25
ARCHAEOLOGY	ECONOMICS	49	43
ARCHAEOLOGY	EDUCATION	89	22
ARCHAEOLOGY	ENGINEERING	45	67
ARCHAEOLOGY	ENGLISH LIT	13	130
ARCHAEOLOGY	EVOLUTION BIO	11	6
ARCHAEOLOGY	HISTORY	61	6
ARCHAEOLOGY	LINGUISTICS	86	86
ARCHAEOLOGY	MATH	4	0
ARCHAEOLOGY	MID EAST STUD	89	198
ARCHAEOLOGY	MOLEC BIO	20	2
ARCHAEOLOGY	MUS TH & COM	71	20
ARCHAEOLOGY	NEUROSCI	77	78
ARCHAEOLOGY	PHILOSOPHY	61	27
ARCHAEOLOGY	PHYSICS	53	3
ARCHAEOLOGY	POLITICAL SCI	58	13
